dataset,method,bal_acc,bal_acc,f1,f1,auc,auc,brier,brier,kl,kl,ecl,ecl,train_time_s,train_time_s,param_time_s,param_time_s,total_train_time_s,total_train_time_s,infer_time_s,infer_time_s
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
heart.csv,hillclimb,0.8340879414086961,0.01496671314369614,0.8411372133009207,0.016796972236238984,0.911709632715293,0.010252063404834382,0.11835965540089577,0.004639093950792611,34.825935216404105,2.53320180567877,0.06064270209996373,0.010726953093332346,5.8467097,12.9450363913531,0.08063139999999999,0.03623118968716551,5.92734095,12.962266468310283,0.014500250000000001,0.004862898949944201
heart.csv,pc_stable,0.8389024794213474,0.0930190448988416,0.8441994763717942,0.08656079303150044,0.9198332652672275,0.06100007396747671,0.11361828135557932,0.043631934157401575,39.11706145424225,10.383387854982471,0.12341282217011378,0.05502495557288231,4318.617371166666,1180.5526858632031,93.85004616666667,197.62531088034393,4412.467417666667,1227.5141328800494,0.008179833333333332,0.005208850829757621
