dataset,fold,n_train,n_test,discretizer,bins,method,score,max_iter,num_edges,train_time_s,param_time_s,total_train_time_s,infer_time_s,bal_acc,f1,auc,brier,kl,ecl
heart.csv,2,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,20,2.839253,0.127058,2.966311,0.015568,0.819047619047619,0.8262910798122066,0.9191428571428572,0.12016124916284522,33.80211284228322,0.05361182581975348
heart.csv,3,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,19,2.493556,0.080258,2.573814,0.016336,0.8047619047619048,0.8095238095238095,0.9022857142857142,0.12637985522113193,34.77922276524983,0.049979007207765276
heart.csv,4,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,21,2.810272,0.087009,2.89728,0.016923,0.8383333333333334,0.8465116279069768,0.911047619047619,0.11592262179465104,32.2512348178759,0.05293039959073401
heart.csv,5,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,19,2.224308,0.081235,2.305542,0.017091,0.852820659424433,0.8611111111111112,0.9176195921478941,0.11707731699925485,33.24770429195158,0.06699591433485183
heart.csv,1,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,19,1.258435,0.035891,1.294327,0.00733,0.8385714285714285,0.8450704225352113,0.9025714285714285,0.11974921065094528,38.04199875546372,0.04649457119590668
heart.csv,2,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,20,1.283469,0.035854,1.319323,0.006523,0.8247619047619048,0.8252427184466019,0.9240476190476191,0.11295353886262481,37.853277133982786,0.0765319590129577
heart.csv,3,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,19,1.174903,0.029646,1.204548,0.006658,0.8326190476190476,0.8468468468468469,0.9249047619047619,0.11094488318317237,32.442532812760845,0.06180235068989414
heart.csv,4,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,19,1.14254,0.034212,1.176752,0.006511,0.8478571428571429,0.8571428571428571,0.9037142857142857,0.11890901633003402,33.2768829385455,0.06849195962391591
heart.csv,5,820,205,bootstrap+qcut+bnlearn,5,hillclimb,bic,2000000,19,1.136843,0.037345,1.174187,0.006348,0.852820659424433,0.8611111111111112,0.9176195921478941,0.11707731699925485,33.24770429195158,0.06699591433485183
heart.csv,1,820,205,bootstrap+qcut+bnlearn,5,pc_stable,chi_square,0,24,2990.224878,1.413737,2991.638615,0.00631,0.8823809523809524,0.8878504672897196,0.9773333333333334,0.07437585778251835,28.552103188682096,0.10796693894792615
heart.csv,2,820,205,bootstrap+qcut+bnlearn,5,pc_stable,chi_square,0,21,4271.374385,34.155733,4305.530119,0.005923,0.7295238095238095,0.7577092511013216,0.8459047619047619,0.1681889232632832,51.485967882749264,0.1626079546299352
heart.csv,3,820,205,bootstrap+qcut+bnlearn,5,pc_stable,chi_square,0,20,5780.696134,22.663817,5803.359951,0.005903,0.9904761904761905,0.9903846153846154,1.0,0.05417452296778396,25.71652714250749,0.206193671483632
heart.csv,4,820,205,bootstrap+qcut+bnlearn,5,pc_stable,chi_square,0,22,4643.580279,496.388618,5139.968898,0.006433,0.8554761904761905,0.845360824742268,0.9181904761904762,0.11301623605843086,41.314786255931004,0.13034099471900945
heart.csv,5,820,205,bootstrap+qcut+bnlearn,5,pc_stable,chi_square,0,19,2914.214568,5.962797,2920.177365,0.005712,0.8093672574804651,0.8169014084507042,0.9159519725557461,0.12069552411120922,39.02629819174591,0.07034679551086388
